Lon,Lat,OBJECTID,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,ADDRESS_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
-77.02307742,38.9184,413,Ward 1,"2112 8th St NW, Washington, District of Columbia 20001",Atlantic Plumbing (2112 8th Street NW),Completed 2015 to Date,DHCD,29,38.91852622,-77.02307471,0,0,0,29,0,,284190,397998.89,138947.24,2112 8TH STREET NW,2019-05-20T04:00:25.000Z
-77.02314849,38.93023746,414,Ward 1,"3205 Georgia Avenue NW, Washington, District of Columbia",Georgia Gibson,Completed 2015 to Date,DHCD,5,38.93023,-77.0231462,0,3,0,2,0,,218154,397993.06,140261.3,3205 GEORGIA AVENUE NW,2019-05-20T04:00:25.000Z
-77.04144233,38.9216082,415,Ward 1,"2360 Champlain St NW, Washington, District of Columbia 20009",Eden (2360 Champlain Street NW),Completed 2015 to Date,DHCD,2,38.92153316,-77.04148266,0,1,0,1,0,,242974,396406.42,139303.94,2360 CHAMPLAIN STREET NW,2019-05-20T04:00:25.000Z
-77.0322341,38.90897916,417,Ward 2,"1400 14th St NW, Washington, District of Columbia 20005",Mai Place,Completed 2015 to Date,DHCD,4,38.90897171,-77.03223181,0,0,0,4,0,,240221,397204.44,137901.69,1400 14TH STREET NW,2019-05-20T04:00:25.000Z
-77.01470964,38.87613455,418,Ward 6,"222 M St SW, Washington, District of Columbia 20024",St. Matthews Redevelopment,Completed 2015 to Date,DHCD OP,23,38.87604341,-77.01472774,0,0,0,23,0,13-Nov,277791,398723.8,134255.29,222 M STREET SW,2019-05-20T04:00:25.000Z
-76.99371811,38.93054316,419,Ward 5,"3300 9th Street Northeast, Washington, District of Columbia 20017",Brookland Station,Completed 2015 to Date,DHCD,1,38.93054362,-76.99365805,0,1,0,0,0,,312213,400544.88,140295,3300 9TH STREET NE,2019-05-20T04:00:25.000Z
-77.02088571,38.93342899,420,Ward 1,"3542 Warder Street Northwest, Washington, District of Columbia 20010",The Warder,Completed 2015 to Date,DHCD,1,38.93342153,-77.02088342,0,1,0,0,0,,228805,398189.34,140615.54,3542 WARDER STREET NW,2019-05-20T04:00:25.000Z
-77.03519082,38.92685399,1574,Ward 1,"1474 Columbia Road Northwest, Washington, District of Columbia 20009",Maycroft Rehab II,Completed 2015 to Date,DHCD,64,38.926847,-77.035189,41,7,16,0,0,,234344,396948.76,139886.04,1474 COLUMBIA ROAD NW,2019-05-20T04:00:25.000Z
-77.00251232,38.87720205,1575,Ward 6,"1100 2nd Place Southeast, Washington, District of Columbia 20003",Harlow Navy Yard (Arthur Capper Square 769N),Pipeline,DHCD,36,,,0,36,0,0,0,,313921,399782.2,134373.69,1100 2ND PLACE SE,2019-05-20T04:00:25.000Z
-76.91194199,38.8938098,1576,Ward 7,"323 62nd Street Northeast, Washington, District of Columbia 20019",Eastbrooke Apartments (Dix Gateway),Pipeline,DHCD,39,,,0,0,39,0,0,,310426,407639.35,136220.96,323 62ND STREET NE,2019-05-20T04:00:25.000Z
-77.00084931,38.92385222,1577,Ward 5,"2612 4th Street Northeast, Washington, District of Columbia 20002",2612 4th St NE,Pipeline,DHCD,1,,,0,0,0,1,0,,319485,399926.55,139552.23,2612 4TH STREET NE,2019-05-20T04:00:25.000Z
-77.02591192,38.93113933,1578,Ward 1,"785 Lamont Street Northwest, Washington, District of Columbia 20010",785 Lamont St NW,Pipeline,DHCD,2,,,0,1,0,1,0,,313481,397753.48,140361.48,785 LAMONT STREET NW,2019-05-20T04:00:25.000Z
-77.02683511,38.95647033,1579,Ward 4,"927 Kennedy St NW, Washington, District of Columbia 20011",927 Kennedy St NW,Under Construction,DHCD,2,,,0,1,0,1,0,,254531,397674.26,143173.47,927 KENNEDY STREET NW,2019-05-20T04:00:25.000Z
-77.00846038,38.94930955,1581,Ward 5,"4811 North Capitol Street NE, Washington, District of Columbia 20011",Tivoli Gardens,Pipeline,DCHA DHCD,90,38.949302,-77.008458,8,29,53,0,0,,288280,399266.82,142378.25,4811 NORTH CAPITOL STREET NE,2019-05-20T04:00:25.000Z
-81.52919213,37.57726919,1582,,,Kenilworth 166 phase 1,Pipeline,DCHA DHCD,166,,,17,149,0,0,0,,,0,0,,2019-05-20T04:00:25.000Z
-81.52919213,37.57726919,1584,Ward 6,"801 N Street Northwest, Washington, District of Columbia 20007",801 N St NW,Under Construction,DHCD,2,,-77.023193,0,1,1,0,0,,,0,0,,2019-05-20T04:00:25.000Z
-77.01182329,38.86450196,1585,Ward 6,"88 v Street Southwest, Washington, District of Columbia 20024",88 V St SW,Under Construction,DHCD,8,,-77.011821,0,0,0,8,0,,314966,398974.09,132963.95,88 V STREET SW,2019-05-20T04:00:25.000Z
-76.96982462,38.87019207,1586,Ward 7,"1614 26th Pl SE, Washington, District of Columbia 20020",26th Place Flats,Under Construction,DHCD,2,38.870184,-76.969822,0,1,0,1,0,,313248,402618.82,133595.96,1614 26TH PLACE SE,2019-05-20T04:00:25.000Z
-76.91894826,38.89444379,1587,Ward 7,"5701 Dix Street Northeast, Washington, District of Columbia 20019",Turner Flats at Beulah Crossing,Under Construction,DHCD,4,38.894436,-76.918946,0,2,0,2,0,,,407031.4847,136290.7748,,2019-05-20T04:00:25.000Z
-77.02676759,38.95762097,1250,Ward 4,"931 Longfellow Street Northwest, Washington, District of Columbia 20011",Brightwood Gardens,Pipeline,DHCD,52,38.957614,-77.026765,8,36,2,6,0,,254436,397680.15,143301.2,931 LONGFELLOW STREET NW,2019-05-20T04:00:25.000Z
-76.93245726,38.88923279,1251,Ward 7,"5 49th Street Southeast, Washington, District of Columbia 20019",Crawford Landing Townhomes,Pipeline,DHCD,28,38.889225,-76.932455,0,0,0,28,0,,,405859.9988,135711.3592,,2019-05-20T04:00:25.000Z
